team_id,team_name,school,pool
2,Albany A,,
4,Albany B,,
6,Amador Valley A,,
7,Amador Valley B,,
10,American A,,
12,American B,,
9,Archbishop Mitty A,,
13,Archbishop Mitty B,,
5,BASIS Fremont,,
8,BASIS Silicon Valley A,,
11,BASIS Silicon Valley B,,
16,California,,
17,Chico A,,
19,Chico B,,
21,Clovis North,,
3,Cupertino A,,
24,Cupertino B,,
26,Davidson A,,
27,Davidson B,,
20,Dougherty Valley A,,
29,Dougherty Valley B,,
31,El Camino A,,
34,El Camino B,,
35,Evergreen Valley,,
1,Folsom City,,
33,Foothill A,,
37,Foothill B,,
36,GSB A,,
15,GSB B,,
25,Homestead,,
39,Irvington A,,
14,Irvington B,,
38,Los Gatos,,
30,Lynbrook A,,
42,Lynbrook B,,
41,Miller,,
32,Mira Loma A,,
43,Mira Loma B,,
40,Mission San Jose A,,
46,Mission San Jose B,,
28,Mountain House A,,
18,Mountain House B,,
44,Palo Alto,,
22,Quarry Lane A,,
48,Quarry Lane B,,
47,San Mateo,,
45,Saratoga,,
23,Stanford Online,,
