team_id,team_name,school,pool
2,Basis,,
4,Centennial A,,
6,Centennial B,,
7,Centreville HS Team 1,,
9,Eagles A,,
11,Eagles B,,
3,Eagles C,,
13,Gargy Bomy,,
5,Kiruna Scholars,,
15,Montgomery Blair A,,
18,Montgomery Blair B,,
17,North Allegheny,,
1,Pilgrimage Homeschool,,
19,Poolesville 2,,
8,Richard Montgomery,,
21,Shallow Stroll Team B,,
16,Shallow Walk team A,,
24,South Jersey,,
20,The Wilberforce School,,
26,Thomas S Wootton High School team A,,
22,Thomas S Wootton High School team B,,
28,Thomas S Wootton High School team C,,
27,WCHS A,,
30,WCHS B,,
10,WCHS C,,
25,WWPN A,,
23,WWPN B,,
12,Westtown A,,
14,Westtown B,,
29,poolesville village idiots,,
