rank,team_id,name,games_played,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,8,BASIS Silicon Valley A,5,45.2,17,3,0,20,17,170,10.0
2,20,Dougherty Valley A,5,42.8,17,1,2,20,17,150,8.823529411764707
3,40,Mission San Jose A,5,37.6,15,3,2,20,15,140,9.333333333333334
4,21,Clovis North,5,35.6,14,2,4,20,14,130,9.285714285714286
5,36,GSB A,5,35.2,15,1,4,20,15,120,8.0
6,30,Lynbrook A,5,34.4,15,2,3,20,15,120,8.0
7,9,Archbishop Mitty A,5,32.0,16,1,3,20,16,100,6.25
8,33,Foothill A,5,30.0,13,3,4,20,13,110,8.461538461538462
9,44,Palo Alto,5,28.8,14,3,3,20,14,100,7.142857142857143
10,1,Folsom City,5,27.2,15,1,4,20,15,80,5.333333333333333
11,29,Dougherty Valley B,5,26.8,12,1,7,20,12,90,7.5
12,45,Saratoga,5,25.2,10,1,9,20,10,90,9.0
13,46,Mission San Jose B,5,24.8,12,6,2,20,12,100,8.333333333333334
14,26,Davidson A,5,24.4,15,2,3,20,15,70,4.666666666666667
15,24,Cupertino B,5,23.2,11,2,7,20,11,80,7.2727272727272725
16,41,Miller,5,22.8,12,1,7,20,12,70,5.833333333333333
17,42,Lynbrook B,5,22.4,12,4,4,20,12,80,6.666666666666667
18,32,Mira Loma A,5,21.6,11,4,5,20,11,80,7.2727272727272725
19,6,Amador Valley A,5,15.6,11,9,0,20,11,70,6.363636363636363
20,23,Stanford Online,5,14.8,8,2,10,20,8,50,6.25
21,39,Irvington A,5,14.0,8,3,9,20,8,50,6.25
22,48,Quarry Lane B,5,13.6,8,1,11,20,8,40,5.0
23,25,Homestead,5,12.8,7,1,12,20,7,40,5.714285714285714
24,13,Archbishop Mitty B,5,12.0,6,1,13,20,6,40,6.666666666666667
25,43,Mira Loma B,5,11.6,9,2,9,20,9,30,3.3333333333333335
26,14,Irvington B,5,10.8,6,0,14,20,6,30,5.0
27,3,Cupertino A,5,10.0,6,1,13,20,6,30,5.0
28,11,BASIS Silicon Valley B,5,9.6,6,4,10,20,6,40,6.666666666666667
29,37,Foothill B,5,9.2,7,3,10,20,7,30,4.285714285714286
30,7,Amador Valley B,5,8.4,5,2,13,20,5,30,6.0
31,12,American B,5,8.4,3,0,17,20,3,30,10.0
32,35,Evergreen Valley,5,8.4,9,1,10,20,9,10,1.1111111111111112
33,5,BASIS Fremont,5,8.0,6,1,13,20,6,20,3.3333333333333335
34,34,El Camino B,5,8.0,7,2,11,20,7,20,2.857142857142857
35,18,Mountain House B,5,6.4,4,1,15,20,4,20,5.0
36,47,San Mateo,5,6.4,3,0,17,20,3,20,6.666666666666667
37,31,El Camino A,5,4.4,3,0,17,20,3,10,3.3333333333333335
38,28,Mountain House A,5,4.4,4,1,15,20,4,10,2.5
39,22,Quarry Lane A,5,4.4,5,2,13,20,5,10,2.0
40,15,GSB B,5,3.6,2,0,18,20,2,10,5.0
41,4,Albany B,5,2.8,1,0,19,20,1,10,10.0
42,17,Chico A,5,2.8,2,1,17,20,2,10,5.0
43,19,Chico B,5,2.8,1,0,19,20,1,10,10.0
44,38,Los Gatos,5,2.8,1,0,19,20,1,10,10.0
45,27,Davidson B,5,2.0,2,2,16,20,2,10,5.0
46,16,California,5,1.2,1,2,17,20,1,10,10.0
47,2,Albany A,5,0.8,1,0,19,20,1,0,0.0
48,10,American A,5,-0.8,1,2,17,20,1,0,0.0
